,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
55,El Shok Wal Hob,3,5pvOCcGNcb2fbJfvy4pMeW,Ana Zekra,spotify:track:5pvOCcGNcb2fbJfvy4pMeW,0.986,0.272,0.26,0.777,0.301,-11.584,0.0334,105.938,0.274,1
56,El Shok Wal Hob,4,1X5MAJmO7CqhW8hfI4GHjv,Eid Meladek,spotify:track:1X5MAJmO7CqhW8hfI4GHjv,0.995,0.391,0.2,0.913,0.166,-11.973,0.0409,98.139,0.575,4
57,El Shok Wal Hob,5,11zxgJTYAN9OjwmgbpoYgS,Ala El Shok Meshx,spotify:track:11zxgJTYAN9OjwmgbpoYgS,0.88,0.357,0.223,0,0.229,-10.8,0.0374,127.82,0.321,1
58,El Shok Wal Hob,6,07S9InMk3XxQVVjKdz80Kb,Saal Fiya,spotify:track:07S9InMk3XxQVVjKdz80Kb,0.937,0.3,0.481,0.45,0.272,-10.645,0.0369,123.911,0.363,2
59,El Shok Wal Hob,7,5BouPknawMzfLytM6CfaXz,Ghenwet Hobb,spotify:track:5BouPknawMzfLytM6CfaXz,0.975,0.434,0.45,0.00112,0.153,-10.404,0.0477,124.014,0.555,1
60,El Shok Wal Hob,8,0nQ3gIyUYgLSgTyxCLVNlH,Kesset Mawala,spotify:track:0nQ3gIyUYgLSgTyxCLVNlH,0.959,0.407,0.102,0.098,0.16,-13.194,0.0428,122.699,0.392,4
61,El Shok Wal Hob,9,0J55pu5RuZ57Sm82q8dwNV,Regei Tissal,spotify:track:0J55pu5RuZ57Sm82q8dwNV,0.964,0.321,0.138,0.00624,0.173,-13.955,0.0375,91.683,0.311,1
62,يا قمر,1,07d0VUBDoH42ElVp75SGGs,الغربة,spotify:track:07d0VUBDoH42ElVp75SGGs,0.651,0.495,0.544,0.000267,0.0316,-12.07,0.0365,110.716,0.604,0
63,يا قمر,2,6IUxByAF3kGKPsrbxKHlzv,سفر,spotify:track:6IUxByAF3kGKPsrbxKHlzv,0.622,0.309,0.525,0.000658,0.182,-11.472,0.0482,84.321,0.541,1
64,يا قمر,3,1mN9csbzSoF7Fpe6Z0k5PK,يا قمر,spotify:track:1mN9csbzSoF7Fpe6Z0k5PK,0.803,0.423,0.5,0.000118,0.0534,-9.172,0.0655,113.258,0.18,0
65,مايصعبش عليك غالى,1,52cJ9p6zHX3c2Rg0H5BTGF,مايصعبش عليك غالى,spotify:track:52cJ9p6zHX3c2Rg0H5BTGF,0.754,0.409,0.288,0,0.317,-10.589,0.0403,99.28,0.322,2
66,مايصعبش عليك غالى,2,10hYmr72kPZPu157vKPSUc,وسط الطريق,spotify:track:10hYmr72kPZPu157vKPSUc,0.754,0.39,0.469,0.00218,0.433,-10.583,0.0669,116.975,0.265,2
67,مايصعبش عليك غالى,3,0HM4CY7olIYmhfL5nePeMl,وحياة اللى فات,spotify:track:0HM4CY7olIYmhfL5nePeMl,0.822,0.323,0.224,9.05e-05,0.0824,-11.301,0.035,98.361,0.202,2
68,مايصعبش عليك غالى,4,2Uxb3yPgcjt71Drgbof9dm,أيوه باغير,spotify:track:2Uxb3yPgcjt71Drgbof9dm,0.664,0.425,0.2,0,0.0936,-12.379,0.0424,95.25,0.251,1
69,يا مسافر وحدك,3,5kd57oOluRWf76rgGu5Ezu,ماكانش ع البال,spotify:track:5kd57oOluRWf76rgGu5Ezu,0.979,0.332,0.321,0.00174,0.101,-7.814,0.0542,76.374,0.217,5
70,أنا بستناك,1,44vm3wyBHrCCFR0PKcNAzi,أنا بستناك,spotify:track:44vm3wyBHrCCFR0PKcNAzi,0.958,0.367,0.52,0.000922,0.789,-7.075,0.0467,107.599,0.308,10
71,أنا بستناك,2,29RjPQuCgRZjN0zsDMr7ic,ع اليادى,spotify:track:29RjPQuCgRZjN0zsDMr7ic,0.705,0.397,0.526,0,0.239,-4.894,0.0382,127.934,0.351,15
72,أنا بستناك,3,5kbTKgbWtGIt4HyjFDOLP8,الطير المسافر,spotify:track:5kbTKgbWtGIt4HyjFDOLP8,0.732,0.417,0.511,0,0.069,-6.152,0.0378,95.471,0.483,14
73,أنا بستناك,5,1L5KZcJLVafxgLGspcwWvx,أما غريبة,spotify:track:1L5KZcJLVafxgLGspcwWvx,0.923,0.454,0.358,0,0.271,-6.752,0.0364,128.797,0.462,8
74,يا قمر,2,0f3XSwIgRTdZpoxqGtDHtu,السفر,spotify:track:0f3XSwIgRTdZpoxqGtDHtu,0.839,0.251,0.364,0.21,0.358,-10.701,0.0345,87.239,0.473,1
75,موكب حب,1,3HE0TXxQpvRPgMdsSwNuFS,موكب حب,spotify:track:3HE0TXxQpvRPgMdsSwNuFS,0.952,0.35,0.306,0.00331,0.788,-14.934,0.0646,106.407,0.386,0
76,سكه العاشقين,1,7bLNDu1qPXLDOXIZX4SykH,نسى حفله,spotify:track:7bLNDu1qPXLDOXIZX4SykH,0.939,0.256,0.299,0.000102,0.851,-12.91,0.0424,87.56,0.257,0
77,سكه العاشقين,2,6Xc3Md2y53n3VjuEN6zAcO,سكة العاشقين حفله,spotify:track:6Xc3Md2y53n3VjuEN6zAcO,0.903,0.286,0.215,0.0106,0.975,-16.055,0.0442,90.964,0.199,1
78,سكه العاشقين,3,1mqkzzxfstiCKrhfv2vfBf,ماقدرش أنساك حفله,spotify:track:1mqkzzxfstiCKrhfv2vfBf,0.854,0.414,0.0655,4.72e-06,0.128,-19.51,0.049,121.795,0.36,1
79,سكه العاشقين,4,3pAtNMMkR4EPZtcnTUn19W,سأل في حفله,spotify:track:3pAtNMMkR4EPZtcnTUn19W,0.937,0.417,0.379,0.000188,0.843,-13.543,0.0456,122.321,0.447,0
80,سكه العاشقين,5,6iE7OOVjgdPNRKEChapSQg,حمد الله على السلامه,spotify:track:6iE7OOVjgdPNRKEChapSQg,0.71,0.356,0.253,0.000211,0.0701,-14.368,0.0403,136.735,0.577,4
81,سكه العاشقين,6,6bvw8gja1A5issi2ZbeapF,غنوة حب يا وطنى,spotify:track:6bvw8gja1A5issi2ZbeapF,0.964,0.439,0.338,0.000367,0.3,-13.698,0.0937,122.289,0.491,0
82,سأل فى,1,1EIet72Gis2nEV2Jx4uXQu,سأل فى,spotify:track:1EIet72Gis2nEV2Jx4uXQu,0.93,0.38,0.372,0.000228,0.843,-13.229,0.0498,122.384,0.447,0
83,سأل فى,2,5N7EkRuuX7slpuaGAD8Klx,حمد الله على السلامة,spotify:track:5N7EkRuuX7slpuaGAD8Klx,0.709,0.355,0.265,0.000236,0.0907,-14.013,0.0401,137.045,0.589,0
84,سأل فى,3,63wXhuCTWOk6UeSFaN41lQ,غنوه حب,spotify:track:63wXhuCTWOk6UeSFaN41lQ,0.959,0.437,0.343,0.000269,0.273,-13.417,0.099,122.529,0.494,0
85,سأل فى,4,6jSJCGRfVCuTyVCVt65nWC,ما استغناش عنك بالدنيا,spotify:track:6jSJCGRfVCuTyVCVt65nWC,0.619,0.368,0.344,3.79e-05,0.868,-15.495,0.099,112.014,0.281,0
86,سهرة مع نجاة فى سينما قصر النيل بالقاهره,1,3eG0jZyxn3JkL6TOIutNb1,نسى,spotify:track:3eG0jZyxn3JkL6TOIutNb1,0.939,0.235,0.307,6.63e-05,0.821,-12.643,0.0453,85.41,0.254,0
87,سهرة مع نجاة فى سينما قصر النيل بالقاهره,2,5xvTab4F3IB12qNKqEaZ5F,سكه العاشقين,spotify:track:5xvTab4F3IB12qNKqEaZ5F,0.9,0.328,0.217,0.0115,0.974,-15.77,0.0414,103.267,0.188,0
88,إلا فراق الأحباب,1,4lwfs5exVIYTR6K6JrVQAo,إلا فراق الأحباب,spotify:track:4lwfs5exVIYTR6K6JrVQAo,0.677,0.718,0.462,0,0.0659,-12.422,0.0676,98.429,0.731,2
89,إلا فراق الأحباب,2,2XMiF8UkGgkeLXXpPJcjJx,قصص الحب الجميله,spotify:track:2XMiF8UkGgkeLXXpPJcjJx,0.724,0.415,0.317,4.16e-05,0.201,-14.964,0.0635,110.746,0.564,0
90,إلا فراق الأحباب,3,17eayBnVAZXmhAWrdBwQOP,إنت إنت,spotify:track:17eayBnVAZXmhAWrdBwQOP,0.577,0.683,0.486,0,0.0861,-11.86,0.0524,134.968,0.728,1
91,إلا فراق الأحباب,4,6xGqytlsFXIMMtH6Com9Gw,كل فين وفين,spotify:track:6xGqytlsFXIMMtH6Com9Gw,0.612,0.704,0.563,0,0.283,-10.908,0.0482,137.926,0.83,0
92,أنا بستناك,1,1HWPiuJoEZcCyiwl0D3dLd,أنا بستناك تسجيل حفلة,spotify:track:1HWPiuJoEZcCyiwl0D3dLd,0.873,0.369,0.463,6.74e-06,0.723,-9.124,0.044,108.787,0.35,10
93,أنا بستناك,2,75RjUJANCPsBLo8gKDPetv,آه لو تعرف,spotify:track:75RjUJANCPsBLo8gKDPetv,0.839,0.453,0.358,9.24e-05,0.125,-10.755,0.0356,117.159,0.559,20
94,أنا بستناك,4,2Jhq70o1J0o8zxgWbJh5Bq,حبك حياتى,spotify:track:2Jhq70o1J0o8zxgWbJh5Bq,0.666,0.424,0.382,0.000194,0.0788,-7.514,0.0322,112.83,0.377,9
95,حلاوة الحب,1,0nckQDZeSlIyz7jfZhVRpP,حلاوة الحب تسجيل حفلة,spotify:track:0nckQDZeSlIyz7jfZhVRpP,0.927,0.328,0.31,0.00309,0.749,-13.277,0.1,79.967,0.355,0
96,حلاوة الحب,2,4naEw4dztUrtF0JZxnSjFm,سارقين النوم,spotify:track:4naEw4dztUrtF0JZxnSjFm,0.917,0.356,0.317,4.44e-05,0.972,-11.966,0.0465,102.708,0.336,0
97,شكل تانى,1,6jkpFE7qEg1RZvNwDob5JL,شكل تانى,spotify:track:6jkpFE7qEg1RZvNwDob5JL,0.952,0.398,0.284,0.00219,0.753,-12.866,0.0487,115.043,0.226,5
98,شكل تانى,2,4YZj82WqgHG1YccgcLHMWi,القريب منك,spotify:track:4YZj82WqgHG1YccgcLHMWi,0.77,0.439,0.34,0,0.124,-8.895,0.0316,108.805,0.338,11
99,شكل تانى,3,4pQEQjkROErmlpJ6PQz4bP,عال اليادى,spotify:track:4pQEQjkROErmlpJ6PQz4bP,0.606,0.396,0.48,0,0.133,-7.368,0.0354,129.706,0.572,6
100,عيون القلب,1,6UkneNSMIdiwUEaSVfcYVd,عيون القلب تسجيل حفلة,spotify:track:6UkneNSMIdiwUEaSVfcYVd,0.864,0.354,0.329,0.000121,0.947,-11.013,0.0577,133.821,0.183,25
101,عيون القلب,2,2nCZs15rSShxeRBzBp6eLO,بحلم معاك,spotify:track:2nCZs15rSShxeRBzBp6eLO,0.293,0.496,0.441,0.00419,0.112,-11.199,0.0302,105.888,0.515,32
