album_name,song_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
سكه العاشقين,نسى حفله,0.9390000000000001,0.256,0.299,0.000102,0.851,-12.91,0.0424,87.56,0.257,0
سكه العاشقين,سكة العاشقين حفله,0.903,0.28600000000000003,0.215,0.0106,0.975,-16.055,0.0442,90.964,0.19899999999999998,1
سكه العاشقين,ماقدرش أنساك حفله,0.8540000000000001,0.414,0.0655,4.72e-06,0.128,-19.51,0.049,121.795,0.36,1
سكه العاشقين,سأل في حفله,0.937,0.41700000000000004,0.379,0.000188,0.843,-13.543,0.0456,122.321,0.447,0
سكه العاشقين,حمد الله على السلامه,0.71,0.35600000000000004,0.253,0.00021099999999999998,0.0701,-14.368,0.0403,136.735,0.5770000000000001,4
سكه العاشقين,غنوة حب يا وطنى,0.9640000000000001,0.439,0.33799999999999997,0.000367,0.3,-13.698,0.0937,122.289,0.491,0
سأل فى,سأل فى,0.93,0.38,0.37200000000000005,0.00022799999999999999,0.843,-13.229000000000001,0.0498,122.384,0.447,0
سأل فى,حمد الله على السلامة,0.7090000000000001,0.355,0.265,0.000236,0.0907,-14.013,0.0401,137.045,0.589,0
سأل فى,غنوه حب,0.9590000000000001,0.43700000000000006,0.34299999999999997,0.000269,0.273,-13.417,0.099,122.529,0.494,0
سأل فى,ما استغناش عنك بالدنيا,0.619,0.368,0.344,3.79e-05,0.868,-15.495,0.099,112.014,0.281,0
سهرة مع نجاة فى سينما قصر النيل بالقاهره,نسى,0.9390000000000001,0.235,0.307,6.63e-05,0.821,-12.642999999999999,0.0453,85.41,0.254,0
سهرة مع نجاة فى سينما قصر النيل بالقاهره,سكه العاشقين,0.9,0.32799999999999996,0.217,0.0115,0.9740000000000001,-15.77,0.0414,103.26700000000001,0.188,0
إلا فراق الأحباب,إلا فراق الأحباب,0.677,0.718,0.462,0.0,0.0659,-12.422,0.0676,98.429,0.731,2
إلا فراق الأحباب,قصص الحب الجميله,0.7240000000000001,0.415,0.317,4.16e-05,0.201,-14.964,0.0635,110.74600000000001,0.564,0
إلا فراق الأحباب,إنت إنت,0.5770000000000001,0.6829999999999999,0.486,0.0,0.0861,-11.86,0.0524,134.968,0.728,1
إلا فراق الأحباب,كل فين وفين,0.612,0.7040000000000001,0.563,0.0,0.28300000000000003,-10.908,0.0482,137.92600000000002,0.83,0
أنا بستناك,أنا بستناك تسجيل حفلة,0.873,0.369,0.46299999999999997,6.74e-06,0.723,-9.124,0.044000000000000004,108.787,0.35,10
أنا بستناك,آه لو تعرف,0.8390000000000001,0.45299999999999996,0.358,9.240000000000001e-05,0.125,-10.755,0.0356,117.15899999999999,0.5589999999999999,20
أنا بستناك,حبك حياتى,0.6659999999999999,0.424,0.382,0.000194,0.0788,-7.513999999999999,0.0322,112.83,0.377,9
حلاوة الحب,حلاوة الحب تسجيل حفلة,0.927,0.32799999999999996,0.31,0.00309,0.7490000000000001,-13.277000000000001,0.1,79.967,0.355,0
